,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,Life Is Good (feat. Drake),Future,3186906,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
2,The Box,Roddy Ricch,3081886,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Dance Monkey,Tones And I,1829959,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,ROXANNE,Arizona Zervas,1493781,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Yummy,Justin Bieber,1463603,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
6,Good News,Mac Miller,1302992,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK
7,Circles,Post Malone,1192532,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,Blinding Lights,The Weeknd,1176756,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,Falling,Trevor Daniel,1110169,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,Rare,Selena Gomez,1034362,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
11,Don't Start Now,Dua Lipa,1015160,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,Memories,Maroon 5,938912,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,My Oh My (feat. DaBaby),Camila Cabello,918494,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
14,Lose You To Love Me,Selena Gomez,917525,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
15,BOP,DaBaby,889864,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
16,You should be sad,Halsey,874405,https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao
17,Futsal Shuffle 2020,Lil Uzi Vert,860589,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
18,Someone You Loved,Lewis Capaldi,849365,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,everything i wanted,Billie Eilish,833320,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,Bandit (with YoungBoy Never Broke Again),Juice WRLD,809627,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
21,Ballin' (with Roddy Ricch),Mustard,788940,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,Suicidal,YNW Melly,787868,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
23,Adore You,Harry Styles,759066,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,hot girl bummer,blackbear,735119,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
25,Eleven,Khalid,726054,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
26,If the World Was Ending - feat. Julia Michaels,JP Saxe,708024,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
27,Heartless,The Weeknd,696511,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
28,Sum 2 Prove,Lil Baby,696463,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
29,Se?orita,Shawn Mendes,668410,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,VIBEZ,DaBaby,664145,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
31,SUGAR,BROCKHAMPTON,655715,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
32,HIGHEST IN THE ROOM,Travis Scott,630559,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
33,No Idea,Don Toliver,623743,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
34,Watermelon Sugar,Harry Styles,610748,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,Before You Go,Lewis Capaldi,603950,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,593196,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
37,bad guy,Billie Eilish,582945,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
