,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",2391506,https://open.spotify.com/track/4VrdVTo3orGOWWUCZxrK90
2,"All I Want for Christmas Is You","Mariah Carey",1428520,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,Officieel,Broederliefde,1428164,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,Vervloekt,Frenna,1070072,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
5,"Op Me Monnie",Frenna,1025972,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
6,"Last Christmas",Wham!,1022223,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,VROOM,"Famke Louise",1008958,https://open.spotify.com/track/1JVBWi7RXdqEjIy3vKTXgG
8,rockstar,"Post Malone",982394,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",901614,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
10,Havana,"Camila Cabello",886108,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
11,Wolves,"Selena Gomez",875958,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
12,Patsergedrag,"Sevn Alias",846571,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
13,"In Amsterdam","Sevn Alias",843675,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
14,Perfect,"Ed Sheeran",795124,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,"Op Me Monnie","Famke Louise",774591,https://open.spotify.com/track/0eki4ryWM1aGA5596xT2Hx
16,"New Rules","Dua Lipa",739740,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
17,"Too Good At Goodbyes","Sam Smith",701968,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
18,Stargazing,Kygo,689189,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
19,"Let You Down",NF,669483,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
20,Silence,Marshmello,649284,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
21,"16 Million",Frenna,644382,https://open.spotify.com/track/3AkhtRarPRwQ2lAzvnH64n
22,#JM,Broederliefde,628852,https://open.spotify.com/track/43pg0oNIUwWBCFGZSkomaE
23,"I Miss You (feat. Julia Michaels)","Clean Bandit",622718,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
24,"Dusk Till Dawn - Radio Edit",ZAYN,595455,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
25,Architect,"Jonna Fraser",589139,https://open.spotify.com/track/3UPsdBBqs9vnVF0fYTGA8n
26,"Lovely Body",SFB,585608,https://open.spotify.com/track/65ExBcuMthmxRVnPVvWCe3
27,"Do They Know It's Christmas? - 1984 Version","Band Aid",583348,https://open.spotify.com/track/1hvpDAxZPKjKztOc72sv06
28,"Net Iets Meer","Lil Kleine",570297,https://open.spotify.com/track/2SdXCB4OPo6J6Yc7V249pS
29,"What Lovers Do (feat. SZA)","Maroon 5",569450,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
30,Merry,"Nafthaly Ramona",563500,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
31,"Shape of You","Ed Sheeran",559891,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
32,Tranquille,"Soufiane Eddyani",547219,https://open.spotify.com/track/0vWl45YGcqenHMvxMKeB4L
33,"Santa Tell Me","Ariana Grande",546104,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T
34,"Ride Or Die",Josylvio,525412,https://open.spotify.com/track/7sMPXHS84uuTGeb21IgXnU
35,"Gucci Gang","Lil Pump",505980,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
36,Krantenwijk,"Lil Kleine",505012,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
37,Anywhere,"Rita Ora",502713,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
38,"Reggaetón Lento (Remix)",CNCO,502231,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF
39,"Man's Not Hot","Big Shaq",499175,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
40,"Driving Home for Christmas","Chris Rea",483421,https://open.spotify.com/track/0ZoHHROTzwIYeNAHRPedTY
41,"Lonely Together (feat. Rita Ora)",Avicii,474976,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
42,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",459737,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
43,Unforgettable,"French Montana",429248,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
44,"Wonderful Christmastime - Remastered 2011 / Edited Version","Paul McCartney",424465,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7
45,"It's Beginning to Look a Lot like Christmas","Michael Bublé",423664,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
46,Loterij,"Lil Kleine",423562,https://open.spotify.com/track/260azNxQzQIloG7OpjQtTC
47,Mistletoe,"Justin Bieber",415030,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS
48,"What About Us",P!nk,411996,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
49,"How Long","Charlie Puth",408393,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
50,"Feel It Still","Portugal. The Man",393598,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
51,"Darbas (feat. LouiVos & Mula B)",3robi,388699,https://open.spotify.com/track/6anjzIBM1yDp7PnvRbXLZM
52,"Anders (feat. Sevn & Josylvio)",3robi,378788,https://open.spotify.com/track/6adiI26XZ7hksnPrJdLpjU
53,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",373822,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
54,"It's the Most Wonderful Time of the Year","Andy Williams",368198,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
55,Littekens,Boef,362910,https://open.spotify.com/track/6NoEA8HppOprdER4kv2tAh
56,"Op De Weg (feat. Adje & CHO)",Equalz,362064,https://open.spotify.com/track/7D973n9XquEXreSZOvAhOs
57,"Stop Met Typen",Equalz,351442,https://open.spotify.com/track/2fBHmGi4cnKynlXd7P6GZD
58,Keskiednis,Broederliefde,350957,https://open.spotify.com/track/1TukupQUdHjyrUIKZxhIrB
59,"Mi No Dansi",Broederliefde,345018,https://open.spotify.com/track/4wUfHyRi6lepKoUDrjrmpu
60,Energie,"Ronnie Flex",343449,https://open.spotify.com/track/1riPE3NCV1OBmSXqpYiMJY
61,"Love Song (feat. Frenna)",Equalz,338546,https://open.spotify.com/track/3Ap4gurnSKvitE1TXMlrID
62,Cartier,Dopebwoy,337813,https://open.spotify.com/track/6zcSWREy1vcJ4aWt7bzBW3
63,Traag,Bizzey,330676,https://open.spotify.com/track/7shAADk9RbPvnwCSkjctFJ
64,Thunder,"Imagine Dragons",328232,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
65,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",328129,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
66,"1 Op 1 (feat. SBMG)",Equalz,328125,https://open.spotify.com/track/3deiVmpBZY5Bn3EI0N8dc6
67,"Him & I",G-Eazy,324604,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
68,Mamacita,Leafs,323762,https://open.spotify.com/track/5vHoK2rfXUTECtP7YHoEOu
69,"Come Again","Ronnie Flex",322640,https://open.spotify.com/track/0bWzmIbEKh0xFRb1pTSQAw
70,Coño,Puri,321814,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
71,"Shake up Christmas",Train,321537,https://open.spotify.com/track/10JBIfvldDR2TnT5sphGc2
72,"Mi Gente","J Balvin",315271,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
73,"Jonge Jongen Naar De Top",3robi,314202,https://open.spotify.com/track/0aBqdBTB5SeTM27q4CGc6q
74,"All Falls Down (feat. Juliander)","Alan Walker",310835,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
75,"Too Much To Ask","Niall Horan",309275,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
76,"More Than You Know","Axwell /\ Ingrosso",306971,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
77,Alleen,"Lil Kleine",306459,https://open.spotify.com/track/1VDFn1PCpp8EOXLMURS8kP
78,"Casablanca / Marrakech (feat. Bartofso)",3robi,303891,https://open.spotify.com/track/5TF9XcAWvU0Msf4HjxR4Xr
79,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",301293,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
80,"Thank God It's Christmas - Non-Album Single",Queen,301212,https://open.spotify.com/track/05X6aMCQR09E6smUmw9qms
81,"Échame La Culpa","Luis Fonsi",299855,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
82,Rain,"The Script",299110,https://open.spotify.com/track/2QWP8NYYplOqEFBYGCcq0S
83,"Whatever It Takes","Imagine Dragons",293944,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
84,Accepteren,Supergaande,288304,https://open.spotify.com/track/3sU2nNTDrYEZgskBD5cGxX
85,"Without You (feat. Sandro Cavazza)",Avicii,287831,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
86,"Say You Won't Let Go","James Arthur",287670,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
87,"Glorious (feat. Skylar Grey)",Macklemore,286114,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
88,Gunman,Vic9,285741,https://open.spotify.com/track/4nnW0IqcUw4O4pW09aMjTa
89,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",280740,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
90,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",279657,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
91,Owjee,3robi,279296,https://open.spotify.com/track/1CT6VldAOrUe1ud6zmtnES
92,"Mind Made Up",Wulf,277886,https://open.spotify.com/track/5wrDrajYZSJqta7rJBvcJV
93,"Money Money (feat. Bollebof)",F1rstman,272764,https://open.spotify.com/track/18CkDfMW10KhueHaqAFgWK
94,"Alles In",Broederliefde,272564,https://open.spotify.com/track/5nCh1ndK8yigIS1HnygeDg
95,Mama,"Jonas Blue",270138,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
96,"Walk On Water (feat. Beyoncé)",Eminem,269772,https://open.spotify.com/track/5b2QnYcT9rQIkhRWt4HztQ
97,Zoutelande,BLØF,267854,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
98,Habiba,Boef,267760,https://open.spotify.com/track/6G41AeVgQkpvEbTxN5fNkW
99,"Gekke Leven (feat. Lijpe)",3robi,266960,https://open.spotify.com/track/1j7WkfrhD53T4NP0MbaF4H
100,"Feliz Navidad","José Feliciano",261818,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
101,"Stack 't",Dopebwoy,259582,https://open.spotify.com/track/1s2L9CW9hub5NFGjxrqBYD
102,"Reality Check",Ismo,254417,https://open.spotify.com/track/20A4R1ibqWZMjhpJKKX0wR
103,"Holly Jolly Christmas","Michael Bublé",254380,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
104,Obesitas,"Ali B",254053,https://open.spotify.com/track/4eLhKlJiNVpelrBX66ouIn
105,"Candy Paint","Post Malone",252873,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
106,1-800-273-8255,Logic,250327,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
107,"Something Just Like This","The Chainsmokers",246561,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
108,Barz,3robi,246101,https://open.spotify.com/track/1V0SPJTGUG4kQbiGj23DeN
109,"Friends (with BloodPop®)","Justin Bieber",245588,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
110,"Is Dit Over","Ronnie Flex",245555,https://open.spotify.com/track/0fsmTJldWyMkaCWTWt68yq
111,"It Ain't Me (with Selena Gomez)",Kygo,245173,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
112,"Avec Me",Latifah,244583,https://open.spotify.com/track/0aKgCvKsrq5ELNSG3UiST7
113,"Dirty Sexy Money (feat. Charli XCX & French Montana)","David Guetta",243449,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH
114,"Super Heet - Sprintsessie",Lijpe,243188,https://open.spotify.com/track/2CRKcpU6VqHtPQKwWhbxKh
115,"Christmas Lights",Coldplay,238866,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
116,"Symphony (feat. Zara Larsson)","Clean Bandit",237728,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
