,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,43950715,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Don’t Matter To Me",Drake,33681056,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,SAD!,XXXTENTACION,28909080,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,"Girls Like You (feat. Cardi B)","Maroon 5",27241596,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,Nonstop,Drake,26916394,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
6,"Lucid Dreams","Juice WRLD",26176772,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"I Like It","Cardi B",26025276,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"One Kiss (with Dua Lipa)","Calvin Harris",24664506,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,"Better Now","Post Malone",23756262,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
10,"Solo (feat. Demi Lovato)","Clean Bandit",22976944,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Taste (feat. Offset)",Tyga,21134840,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"God's Plan",Drake,19985385,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
13,"Nice For What",Drake,19533544,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
14,Moonlight,XXXTENTACION,19069421,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Jackie Chan",Tiësto,19001953,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
16,Youngblood,"5 Seconds of Summer",18936010,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
17,"Ocean (feat. Khalid)","Martin Garrix",18247761,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
18,"Te Boté - Remix","Nio Garcia",17842240,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
19,"Back To You","Selena Gomez",17262693,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
20,"no tears left to cry","Ariana Grande",16827565,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
21,"I'm Upset",Drake,16232948,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
22,changes,XXXTENTACION,15306186,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
23,Rise,"Jonas Blue",14989180,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
24,"Jocelyn Flores",XXXTENTACION,14520973,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
25,"Sin Pijama","Becky G",14420227,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
26,"Mob Ties",Drake,13446472,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
27,X,"Nicky Jam",13406098,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
28,Emotionless,Drake,12964113,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
29,"Born To Be Yours",Kygo,12833562,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
30,Nevermind,"Dennis Lloyd",12583390,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
31,"Bed (feat. Ariana Grande)","Nicki Minaj",12465825,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
32,"Psycho (feat. Ty Dolla $ign)","Post Malone",12282080,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
33,"rockstar (feat. 21 Savage)","Post Malone",11859030,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
34,2002,Anne-Marie,11653916,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
