,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
1,God's Plan,Drake,3529135,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Diplomatic Immunity,Drake,1283378,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
3,rockstar,Post Malone,1176012,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,Havana (feat. Young Thug),Camila Cabello,1175386,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
5,River (feat. Ed Sheeran),Eminem,930924,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
6,Finesse - Remix; feat. Cardi B,Bruno Mars,824115,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
7,Him & I (with Halsey),G-Eazy,803805,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
8,No Limit,G-Eazy,757648,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,745874,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
10,Let You Down,NF,743717,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
11,Never Be the Same,Camila Cabello,740983,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
12,All The Stars (with SZA),Kendrick Lamar,739976,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
13,Wolves,Selena Gomez,732367,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
14,Bartier Cardi (feat. 21 Savage),Cardi B,693438,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
15,I Fall Apart,Post Malone,674481,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
16,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,643600,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
17,Ric Flair Drip (& Metro Boomin),Offset,643464,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
18,Perfect,Ed Sheeran,616473,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
19,Sick Boy,The Chainsmokers,608069,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
20,New Rules,Dua Lipa,593341,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
21,IDGAF,Dua Lipa,574990,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
22,Codeine Dreaming (feat. Lil Wayne),Kodak Black,573517,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
23,Silence,Marshmello,564399,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
24,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,530489,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
25,Tip Toe (feat. French Montana),Jason Derulo,508165,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
26,MotorSport,Migos,501950,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
27,XO Tour Llif3,Lil Uzi Vert,493160,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
28,HUMBLE.,Kendrick Lamar,484017,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
29,Thunder,Imagine Dragons,483434,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
