,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,RAPSTAR,Polo G,16256724,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
2,MONTERO (Call Me By Your Name),Lil Nas X,13250956,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,10538561,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,Kiss Me More (feat. SZA),Doja Cat,9214644,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,deja vu,Olivia Rodrigo,8460050,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
6,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,7348585,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
7,Astronaut In The Ocean,Masked Wolf,6481465,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,Levitating (feat. DaBaby),Dua Lipa,6400894,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,Up,Cardi B,6375913,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
10,Calling My Phone,Lil Tjay,6255709,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
11,Heartbreak Anniversary,Giveon,6013044,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,Leave The Door Open,Bruno Mars,5667978,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
13,telepatía,Kali Uchis,5250324,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,drivers license,Olivia Rodrigo,5218818,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,Love Story (Taylor’s Version),Taylor Swift,5008901,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
16,What’s Next,Drake,4893274,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
17,Save Your Tears,The Weeknd,4852215,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,Streets,Doja Cat,4768073,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
19,Good Days,SZA,4726053,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
20,Fearless (Taylor’s Version),Taylor Swift,4718031,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE
21,Heat Waves,Glass Animals,4632129,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
22,Best Friend (feat. Doja Cat),Saweetie,4545785,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
23,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,4466327,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
24,You Belong With Me (Taylor’s Version),Taylor Swift,4386661,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA
25,Wants and Needs (feat. Lil Baby),Drake,4354439,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
26,Back In Blood (feat. Lil Durk),Pooh Shiesty,4203765,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
27,The Way I Loved You (Taylor’s Version),Taylor Swift,3923943,https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M
28,Fifteen (Taylor’s Version),Taylor Swift,3907269,https://open.spotify.com/track/2nqio0SfWg6gh2eCtfuMa5
29,Blinding Lights,The Weeknd,3831904,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,DÁKITI,Bad Bunny,3818804,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
31,Hey Stephen (Taylor’s Version),Taylor Swift,3749326,https://open.spotify.com/track/550erGcdD9n6PnwxrvYqZT
32,Hold On,Justin Bieber,3727059,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
33,X Gon' Give It To Ya,DMX,3724103,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
34,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,3501040,https://open.spotify.com/track/4CHpVfAhuxNJ3ibExe6kxO
35,White Horse (Taylor’s Version),Taylor Swift,3492637,https://open.spotify.com/track/5YL553x8sHderRBDlm3NM3
