,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,217374,Australia,7qiZfU4dY1lWllzX7mPBI3
1,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,121706,Australia,72jbDTw1piOOj770jWNeaG
2,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,121507,Australia,6PCUP3dWmTjcTtXY02oFdT
3,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,114564,Australia,0JiVRyTJcJnmlwCZ854K4p
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,105745,Australia,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,105476,Australia,5knuzwU65gJK7IF5yJsuaW
6,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,97880,Australia,6HUnnBwYZqcED1eQztxMBN
7,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,86940,Australia,1cG0umU5TKStygKsPFZ9pY
8,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,83895,Australia,78rIJddV4X0HkNAInEcYde
9,Bad Ideas,0.0163,0.749,0.71,0.0237,0.0892,-6.63,1,0.0331,120.005,4,0.678,79896,Australia,76gwG061wqdatYhicO2hG4
10,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,76615,Australia,5uCax9HTNlzGybIStD3vDh
11,Now and Later,0.273,0.781,0.57,0.0,0.196,-5.874,0,0.188,107.059,4,0.858,75679,Australia,43jBqV3j3Xi1g6wO0bhIMd
12,Chöre,0.22,0.773,0.623,0.0,0.389,-6.173,0,0.0377,129.962,4,0.714,75588,Australia,2nYpbaLykC2cjU8Yt5KF1v
13,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,74965,Australia,7BKLCZ1jbUBVqRi2FVlTVw
14,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,73566,Australia,3EmmCZoqpWOTY1g2GBwJoR
15,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,71270,Australia,5aAx2yezTd8zXrkmtKl66Z
16,Lot to Learn,0.0948,0.405,0.846,0.0,0.0666,-3.57,1,0.195,82.232,4,0.602,68178,Australia,3TRFq09DUgYj1mug6RRqJW
17,No Lie,0.0437,0.741,0.891,0.0,0.256,-2.824,1,0.119,102.002,4,0.449,65536,Australia,3cFsmM51N5zMAuu1nNY4Tw
18,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,64934,Australia,7abpmGpF7PGep2rDU68GBR
19,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,62296,Australia,5MFzQMkrl1FOOng9tq6R9r
20,Mercy,0.137,0.469,0.68,0.0,0.11,-4.921,0,0.117,147.734,4,0.374,60425,Australia,4TZy1wLyHec06pwgFYDh1a
21,Scars To Your Beautiful,0.0285,0.573,0.739,0.0,0.111,-5.74,1,0.129,97.085,4,0.451,60091,Australia,0prNGof3XqfTvNDxHonvdK
22,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,58733,Australia,1CnPYaKxTVb4LWOtiGOm0m
23,Hear Me Now,0.537,0.788,0.43,0.00261,0.0936,-7.757,1,0.0419,121.996,4,0.461,58012,Australia,1a5Yu5L18qNxVhXx38njON
24,Never Give Up,0.00497,0.568,0.936,0.0138,0.12,-2.961,0,0.053,91.009,4,0.605,57353,Australia,1ssmjAYSU5PbmsjLq5yrNH
25,Let Me Love You,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,1,0.0576,199.864,4,0.142,54238,Australia,4pdPtRcBmOSQDlJ3Fk945m
26,All Night,0.00251,0.563,0.775,0.0,0.326,-6.433,1,0.0366,144.945,4,0.458,52684,Australia,1yNyoWWWikbLhwIGWjZuDW
27,My Way,0.093,0.818,0.913,3.69e-05,0.161,-3.06,0,0.0426,119.986,4,0.536,52604,Australia,1vvNmPOiUuyCbgWmtc6yfm
28,Dye My Hair,0.428,0.821,0.564,3.5e-06,0.0563,-5.448,1,0.088,115.465,4,0.635,49753,Australia,5NafFxaLg9Ep21oTHBw7Zq
29,Would I Lie to You - Radio Edit,0.00718,0.671,0.826,0.0,0.631,-5.766,0,0.309,123.986,4,0.774,48909,Australia,4PdJSsESm34djLfBde9Pr2
30,Bad Things (with Camila Cabello),0.214,0.697,0.691,0.0,0.185,-4.757,1,0.146,137.853,4,0.305,48881,Australia,1PSBzsahR2AKwLJgx8ehBj
31,Love Me Now,0.591,0.495,0.762,0.0,0.0763,-3.842,1,0.0862,123.893,4,0.708,47703,Australia,6nxQdXa1uAL0rY72wPZu89
