,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,247463,Australia,7qiZfU4dY1lWllzX7mPBI3
1,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,134763,Australia,72jbDTw1piOOj770jWNeaG
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,118375,Australia,3NdDpSvN911VPGivFlV5d0
3,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,111821,Australia,6PCUP3dWmTjcTtXY02oFdT
4,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,108807,Australia,0JiVRyTJcJnmlwCZ854K4p
5,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,106197,Australia,6HUnnBwYZqcED1eQztxMBN
6,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,104588,Australia,5knuzwU65gJK7IF5yJsuaW
7,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,94967,Australia,3ebXMykcMXOcLeJ9xZ17XH
8,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,92192,Australia,78rIJddV4X0HkNAInEcYde
9,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,85237,Australia,1cG0umU5TKStygKsPFZ9pY
10,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,81339,Australia,7abpmGpF7PGep2rDU68GBR
11,Bad Ideas,0.0163,0.749,0.71,0.0237,0.0892,-6.63,1,0.0331,120.005,4,0.678,77969,Australia,76gwG061wqdatYhicO2hG4
12,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,76265,Australia,5uCax9HTNlzGybIStD3vDh
13,Now and Later,0.273,0.781,0.57,0.0,0.196,-5.874,0,0.188,107.059,4,0.858,74516,Australia,43jBqV3j3Xi1g6wO0bhIMd
14,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,73330,Australia,3EmmCZoqpWOTY1g2GBwJoR
15,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,71683,Australia,7BKLCZ1jbUBVqRi2FVlTVw
16,Chöre,0.22,0.773,0.623,0.0,0.389,-6.173,0,0.0377,129.962,4,0.714,70664,Australia,2nYpbaLykC2cjU8Yt5KF1v
17,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,70174,Australia,1CnPYaKxTVb4LWOtiGOm0m
18,Lot to Learn,0.0948,0.405,0.846,0.0,0.0666,-3.57,1,0.195,82.232,4,0.602,68146,Australia,3TRFq09DUgYj1mug6RRqJW
19,Weak,0.137,0.673,0.637,0.0,0.184,-4.518,1,0.0429,123.98,4,0.678,67862,Australia,3E2Zh20GDCR9B1EYjfXWyv
20,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),0.153,0.779,0.671,1.12e-05,0.115,-5.829,1,0.0814,104.953,4,0.718,64464,Australia,40UroIGvsMPLPBYwH8rMNA
21,Hear Me Now,0.537,0.788,0.43,0.00261,0.0936,-7.757,1,0.0419,121.996,4,0.461,63487,Australia,1a5Yu5L18qNxVhXx38njON
22,No Lie,0.0437,0.741,0.891,0.0,0.256,-2.824,1,0.119,102.002,4,0.449,60845,Australia,3cFsmM51N5zMAuu1nNY4Tw
23,All Night,0.00251,0.563,0.775,0.0,0.326,-6.433,1,0.0366,144.945,4,0.458,60735,Australia,1yNyoWWWikbLhwIGWjZuDW
24,Never Give Up,0.00497,0.568,0.936,0.0138,0.12,-2.961,0,0.053,91.009,4,0.605,60425,Australia,1ssmjAYSU5PbmsjLq5yrNH
25,Don't Wanna Know,0.338,0.783,0.623,0.0,0.0975,-6.126,1,0.08,100.048,4,0.447,58384,Australia,5MFzQMkrl1FOOng9tq6R9r
26,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0.105,0.803,0.743,2.12e-06,0.099,-3.602,0,0.0681,108.005,4,0.674,55633,Australia,0fg8CqpjdojMyXLNzM2PaJ
27,Starboy,0.165,0.681,0.594,3.49e-06,0.134,-7.028,1,0.282,186.054,4,0.535,55615,Australia,5aAx2yezTd8zXrkmtKl66Z
28,Bad Things (with Camila Cabello),0.214,0.697,0.691,0.0,0.185,-4.757,1,0.146,137.853,4,0.305,53965,Australia,1PSBzsahR2AKwLJgx8ehBj
29,Scars To Your Beautiful,0.0285,0.573,0.739,0.0,0.111,-5.74,1,0.129,97.085,4,0.451,53539,Australia,0prNGof3XqfTvNDxHonvdK
30,"How Far I'll Go - From ""Moana""",0.157,0.314,0.555,0.000108,0.067,-9.601,1,0.37,179.666,4,0.159,52938,Australia,5hYTyyh2odQKphUbMqc5gN
31,Mercy,0.137,0.469,0.68,0.0,0.11,-4.921,0,0.117,147.734,4,0.374,52850,Australia,4TZy1wLyHec06pwgFYDh1a
32,Chantaje (feat. Maluma),0.187,0.852,0.773,3.05e-05,0.159,-2.921,0,0.0776,102.034,4,0.907,51050,Australia,6mICuAdrwEjh6Y6lroV2Kg
33,My Way,0.093,0.818,0.913,3.69e-05,0.161,-3.06,0,0.0426,119.986,4,0.536,51001,Australia,1vvNmPOiUuyCbgWmtc6yfm
34,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,50966,Australia,4aWmUDTfIPGksMNLV2rQP2
35,Let Me Love You,0.0784,0.476,0.718,1.02e-05,0.122,-5.309,1,0.0576,199.864,4,0.142,49663,Australia,4pdPtRcBmOSQDlJ3Fk945m
36,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,49256,Australia,1sXUWdKx03aP9Gmzft58rt
37,Love Me Now,0.591,0.495,0.762,0.0,0.0763,-3.842,1,0.0862,123.893,4,0.708,48275,Australia,6nxQdXa1uAL0rY72wPZu89
38,Sunset Lover,0.729,0.783,0.467,0.809,0.109,-9.474,1,0.0503,90.838,4,0.236,46865,Australia,0hNduWmlWmEmuwEFcYvRu1
39,Ohne mein Team,0.16,0.766,0.8,1.6e-05,0.0744,-6.062,0,0.0938,129.999,4,0.635,46100,Australia,05Mp2UJulSttxQ4E6hQPH3
40,Dye My Hair,0.428,0.821,0.564,3.5e-06,0.0563,-5.448,1,0.088,115.465,4,0.635,46033,Australia,5NafFxaLg9Ep21oTHBw7Zq
41,Jedermann,0.354,0.46,0.735,0.0,0.105,-6.2,1,0.134,174.887,4,0.511,44406,Australia,4rkEjyRMjc6rcj7WROZ9XK
42,Heathens,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0,0.0286,90.024,4,0.548,44078,Australia,6i0V12jOa3mr6uu4WYhUBr
43,In the Name of Love,0.0592,0.49,0.485,0.0,0.337,-6.237,0,0.0406,133.889,4,0.196,43816,Australia,04DwTuZ2VBdJCCC5TROn7L
44,Human,0.393,0.602,0.707,0.0,0.165,-4.097,1,0.302,75.087,4,0.554,42691,Australia,58zsLZPvfflaiIbNWoA22O
45,Would I Lie to You - Radio Edit,0.00718,0.671,0.826,0.0,0.631,-5.766,0,0.309,123.986,4,0.774,42027,Australia,4PdJSsESm34djLfBde9Pr2
46,I Feel It Coming,0.426,0.773,0.819,0.0,0.0679,-5.946,0,0.118,92.99,4,0.585,41278,Australia,5GXAXm5YOmYT0kL5jHvYBt
47,Starving,0.371,0.636,0.633,0.0,0.102,-4.23,1,0.126,99.721,4,0.512,40724,Australia,1qOLh0tI7trd1zdDKxYZTe
48,iPhone 17 (feat. Moé),0.0127,0.622,0.628,0.0,0.0507,-8.285,0,0.117,92.839,4,0.541,40150,Australia,6rwCkGBh7CV6pcdxZKbcsG
49,Way down We Go,0.579,0.489,0.505,0.000333,0.104,-8.022,0,0.117,163.255,4,0.337,37040,Australia,0y1QJc3SJVPKJ1OvFmFqe6
50,Cold Water (feat. Justin Bieber & MØ),0.0736,0.608,0.798,0.0,0.156,-5.092,0,0.0432,92.943,4,0.501,35482,Australia,6DNtNfH8hXkqOX1sjqmI7p
51,Black Beatles,0.142,0.794,0.632,0.0,0.128,-6.163,1,0.0649,145.926,4,0.355,33470,Australia,6fujklziTHa8uoM5OQSfIo
52,Bungalow,0.0341,0.705,0.845,0.00351,0.134,-5.498,1,0.128,91.19,4,0.57,32221,Australia,0xCXcq4y44uHJtJ7zZDF3d
53,I Would Like,0.0853,0.486,0.713,0.0,0.0839,-3.949,0,0.0524,121.028,4,0.297,31567,Australia,4Q4jmPHwu0wrJvqrld0FQ6
54,Bad and Boujee (feat. Lil Uzi Vert),0.061,0.927,0.665,0.0,0.123,-5.313,1,0.244,127.076,4,0.175,31043,Australia,4Km5HrUvYTaSUfiSGPJeQR
55,Eine ins Leben,0.145,0.735,0.85,0.0,0.119,-3.434,1,0.189,97.969,4,0.84,30894,Australia,1tdohH49HMAFjlp1QSo6j8
56,I Got You,0.0504,0.609,0.887,4.76e-06,0.09,-4.749,0,0.0507,97.99,4,0.316,30843,Australia,1FUViuNSldssMIawrOXF2i
57,Cocoon,0.0998,0.743,0.659,0.00028,0.0622,-6.755,1,0.0343,114.033,4,0.804,30532,Australia,0L87MffumRNWrY2SNUFcvs
58,Don't Leave,0.222,0.657,0.703,0.0,0.256,-3.402,1,0.0753,122.381,4,0.338,30080,Australia,0Zx8khUcEfCFK2AEoIhC92
59,Places,0.264,0.728,0.858,0.000761,0.158,-3.866,0,0.0457,122.01,4,0.638,29384,Australia,6O85MfGECKBqAK2MgSbCaj
60,By Your Side,0.0778,0.696,0.743,0.0,0.0581,-3.838,1,0.0331,122.978,4,0.644,28933,Australia,1D3ODoXHBLpdxolZRHWV1j
61,Fake Love,0.105,0.928,0.481,0.0,0.176,-9.35,0,0.287,134.007,4,0.613,28368,Australia,343YBumqHu19cGoGARUTsd
62,One Dance,0.00784,0.791,0.619,0.00423,0.351,-5.886,1,0.0532,103.989,4,0.371,27951,Australia,1xznGGDReH1oQq0xzbwXa3
63,All We Know,0.097,0.662,0.586,0.00272,0.115,-8.821,1,0.0307,90.0,4,0.296,27841,Australia,2rizacJSyD9S1IQUxUxnsK
64,Side To Side,0.0408,0.648,0.738,0.0,0.292,-5.883,0,0.247,159.145,4,0.603,26402,Australia,4pLwZjInHj3SimIyN9SnOz
65,The Mack,0.0707,0.707,0.883,0.0,0.23,-4.281,1,0.0602,106.031,4,0.541,25928,Australia,7aV2mflaASUmGhCErm7kBO
66,The Ocean (feat. Shy Martin),0.0225,0.632,0.575,1.81e-06,0.104,-6.478,1,0.029,90.037,4,0.188,25152,Australia,2CPqh63wRVscbceKcPxwvv
67,Boyfriends,0.0242,0.782,0.692,0.0,0.0675,-5.345,1,0.0584,124.026,4,0.878,25091,Australia,2tUxTQSGGteM7HljpqWU6J
68,Don't Let Me Down (feat. Daya),0.16,0.542,0.859,0.00466,0.137,-5.651,1,0.197,159.797,4,0.403,24724,Australia,0QsvXIfqM0zZoerQfsI9lm
69,24K Magic,0.034,0.818,0.803,0.0,0.153,-4.282,1,0.0797,106.97,4,0.632,24582,Australia,6b8Be6ljOzmkOmFslEb23P
70,Water Under the Bridge,0.0189,0.596,0.838,1.54e-05,0.108,-6.52,0,0.0704,94.982,4,0.472,24397,Australia,4vb4mFvYsr2h6enhjJsq9Y
71,Kokaina,0.0638,0.882,0.506,0.0,0.133,-10.104,1,0.274,132.897,4,0.537,23864,Australia,2KHbPYI22yWIOgWUsApYIS
72,Final Song,0.014,0.695,0.672,7.95e-05,0.0756,-6.109,0,0.0345,104.988,4,0.245,23449,Australia,4qqArAiTPueDxIp7cf87h7
73,Bounce Back,0.106,0.78,0.575,0.0,0.129,-5.628,0,0.139,81.502,4,0.273,23432,Australia,0SGkqnVQo9KPytSri1H6cF
74,Treat You Better,0.123,0.624,0.803,0.0,0.114,-4.105,0,0.246,166.018,4,0.821,22872,Australia,4Hf7WnR761jpxPr5D46Bcd
75,Oceans Away,0.13,0.617,0.642,0.157,0.0929,-8.624,1,0.0334,105.885,4,0.221,22689,Australia,6A8dnC0xkiuWN4BshmTB2I
76,Faded,0.0291,0.589,0.651,3.2e-06,0.111,-5.097,1,0.0306,90.011,4,0.166,21652,Australia,7gHs73wELdeycvS48JfIos
77,Love on Me,0.105,0.562,0.906,0.0,0.145,-2.085,1,0.0758,124.146,4,0.674,21540,Australia,2MHCiOohBZEQuLgDTPvSzF
78,Love On The Brain,0.0717,0.509,0.637,1.08e-05,0.0789,-4.83,0,0.0471,172.006,3,0.378,20472,Australia,2aksifNn5ph8igDOkPBA02
79,Palmen aus Plastik,0.0107,0.643,0.67,0.00162,0.292,-7.074,0,0.0538,104.906,4,0.321,20071,Australia,6wHRm1KR8pzVDPdmR6Qovj
80,Cake - Challenge Version,0.0729,0.786,0.854,1.63e-06,0.179,-4.247,1,0.0523,105.078,4,0.687,20033,Australia,6t2ubAB4iSYOuIpRAOGd4t
81,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.255,0.502,0.786,0.0,0.65,-4.378,0,0.317,169.021,4,0.739,19652,Australia,4dASQiO1Eoo3RJvt74FtXB
82,Capsize,0.0398,0.683,0.708,0.155,0.686,-6.244,0,0.0305,92.991,4,0.355,19173,Australia,2XMTqoHHSH0lvuXrvIEdco
83,Wieso?,0.524,0.866,0.721,0.638,0.0998,-6.234,0,0.0604,119.954,4,0.736,18998,Australia,7mdlZsVJD6HcPuwS3k7e68
84,The Other,0.421,0.38,0.553,2.63e-06,0.0788,-6.621,1,0.0653,179.629,4,0.384,18804,Australia,1lntL1cI2UIWlxjL5QiN8g
