,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,160784,Australia,7qiZfU4dY1lWllzX7mPBI3
1,Something Just Like This,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0,0.0317,103.019,4,0.446,144266,Australia,6RUKPb4LETWmmr3iAEQktW
2,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,134680,Australia,3eR23VReFzcdmS7TYCrhCe
3,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,109595,Australia,72jbDTw1piOOj770jWNeaG
4,Stay (with Alessia Cara),0.232,0.679,0.634,0.0,0.115,-5.024,0,0.0654,102.013,4,0.498,106407,Australia,0dA2Mk56wEzDgegdC6R17g
5,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,105067,Australia,7abpmGpF7PGep2rDU68GBR
6,Galway Girl,0.0735,0.624,0.876,0.0,0.327,-3.374,1,0.1,99.943,4,0.781,102713,Australia,0afhq8XCExXpqazXczTSve
7,You Don't Know Me - Radio Edit,0.163,0.876,0.669,0.0,0.185,-6.054,0,0.138,124.007,4,0.682,96432,Australia,00lNx0OcTJrS3MKHcB80HY
8,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.075,0.696,0.817,0.0,0.187,-3.862,1,0.109,98.064,4,0.782,96079,Australia,6kex4EBAj0WHXDKZMEJaaF
9,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,95476,Australia,6HUnnBwYZqcED1eQztxMBN
10,Symphony (feat. Zara Larsson),0.259,0.707,0.629,1.6e-05,0.138,-4.581,0,0.0563,122.863,4,0.457,93000,Australia,1x5sYLZiu9r5E43kMlt9f8
11,Believer,0.0524,0.779,0.787,0.0,0.14,-4.305,0,0.108,124.982,4,0.708,89898,Australia,0CcQNd8CINkwQfe1RDtGV6
12,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,83977,Australia,3ebXMykcMXOcLeJ9xZ17XH
13,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,1,0.431,150.062,4,0.281,81497,Australia,3rOSwuTsUlJp0Pu0MkN8r8
14,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,79466,Australia,4aWmUDTfIPGksMNLV2rQP2
15,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,73164,Australia,3NdDpSvN911VPGivFlV5d0
16,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,69277,Australia,78rIJddV4X0HkNAInEcYde
17,Passionfruit,0.256,0.809,0.463,0.085,0.109,-11.377,1,0.0396,111.98,4,0.364,68966,Australia,7hDc8b7IXETo14hHIHdnhd
18,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,67983,Australia,6PCUP3dWmTjcTtXY02oFdT
19,Green Light,0.0162,0.616,0.714,1.23e-05,0.0817,-7.792,1,0.0982,128.924,4,0.24,63545,Australia,0gbBzIqrECJOEPvQJIBFs5
20,The One,0.238,0.76,0.303,8.09e-06,0.294,-11.362,1,0.0284,99.991,4,0.15,62291,Australia,0wfbD5rAksdXUzRvMfM3x5
21,HUMBLE.,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0,0.102,150.011,4,0.421,61745,Australia,7KXjTSCq5nL1LoYtL7XAwS
22,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,61697,Australia,1CnPYaKxTVb4LWOtiGOm0m
23,Slide (feat. Frank Ocean & Migos),0.498,0.736,0.795,1.21e-06,0.254,-3.299,0,0.0545,104.066,4,0.511,61196,Australia,7tr2za8SQg2CI8EDgrdtNl
24,Sign of the Times,0.0275,0.516,0.595,0.0,0.109,-4.63,1,0.0313,119.972,4,0.222,60942,Australia,5Ohxk2dO5COHF1krpoPigN
25,Weak,0.137,0.673,0.637,0.0,0.184,-4.518,1,0.0429,123.98,4,0.678,59183,Australia,3E2Zh20GDCR9B1EYjfXWyv
26,Skin,0.265,0.564,0.745,0.0,0.147,-7.733,1,0.31,170.661,4,0.351,58664,Australia,6y2Kaz9QI01XBKJ8mTb7Pf
27,Way down We Go,0.579,0.489,0.505,0.000333,0.104,-8.022,0,0.117,163.255,4,0.337,57416,Australia,0y1QJc3SJVPKJ1OvFmFqe6
28,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,56248,Australia,1sXUWdKx03aP9Gmzft58rt
29,Chained To The Rhythm,0.0733,0.448,0.801,0.0,0.146,-5.363,1,0.165,189.798,4,0.462,55362,Australia,6520aj0B4FSKGVuKNsOCOi
30,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,55121,Australia,5knuzwU65gJK7IF5yJsuaW
31,September Song,0.0545,0.623,0.654,0.0,0.0838,-5.675,0,0.0372,95.921,4,0.401,54648,Australia,0FuTx2s3YH1ppmtiM6l0zI
32,Eine ins Leben,0.145,0.735,0.85,0.0,0.119,-3.434,1,0.189,97.969,4,0.84,53635,Australia,1tdohH49HMAFjlp1QSo6j8
33,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,51438,Australia,0JiVRyTJcJnmlwCZ854K4p
34,Two Princes - Radio Mix,0.0139,0.747,0.803,5.48e-05,0.0668,-5.314,1,0.0345,118.019,4,0.814,51328,Australia,1iTKkkgXj8kJkGdjGGBFqL
