,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,219916,Australia,7qiZfU4dY1lWllzX7mPBI3
1,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,130559,Australia,3NdDpSvN911VPGivFlV5d0
2,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,126252,Australia,72jbDTw1piOOj770jWNeaG
3,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,112861,Australia,3eR23VReFzcdmS7TYCrhCe
4,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,109596,Australia,3ebXMykcMXOcLeJ9xZ17XH
5,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,100411,Australia,6PCUP3dWmTjcTtXY02oFdT
6,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,100133,Australia,6HUnnBwYZqcED1eQztxMBN
7,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,95128,Australia,7abpmGpF7PGep2rDU68GBR
8,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,91578,Australia,0JiVRyTJcJnmlwCZ854K4p
9,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,90888,Australia,78rIJddV4X0HkNAInEcYde
10,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,85278,Australia,5knuzwU65gJK7IF5yJsuaW
11,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,79476,Australia,1CnPYaKxTVb4LWOtiGOm0m
12,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,76373,Australia,1cG0umU5TKStygKsPFZ9pY
