,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,212609,Australia,7qiZfU4dY1lWllzX7mPBI3
1,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,132991,Australia,3eR23VReFzcdmS7TYCrhCe
2,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,125684,Australia,72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,121889,Australia,3NdDpSvN911VPGivFlV5d0
4,Something Just Like This,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0,0.0317,103.019,4,0.446,119382,Australia,6RUKPb4LETWmmr3iAEQktW
5,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,107750,Australia,3ebXMykcMXOcLeJ9xZ17XH
6,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,100365,Australia,6HUnnBwYZqcED1eQztxMBN
7,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,99467,Australia,7abpmGpF7PGep2rDU68GBR
8,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,93644,Australia,6PCUP3dWmTjcTtXY02oFdT
9,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,86748,Australia,78rIJddV4X0HkNAInEcYde
10,Chained To The Rhythm,0.0733,0.448,0.801,0.0,0.146,-5.363,1,0.165,189.798,4,0.462,84868,Australia,6520aj0B4FSKGVuKNsOCOi
11,Believer,0.0524,0.779,0.787,0.0,0.14,-4.305,0,0.108,124.982,4,0.708,83723,Australia,0CcQNd8CINkwQfe1RDtGV6
12,All Time Low,0.0584,0.617,0.567,0.0,0.0933,-4.188,1,0.0828,90.246,4,0.505,80809,Australia,1CnPYaKxTVb4LWOtiGOm0m
13,Alone,0.186,0.676,0.929,0.000405,0.121,-3.194,1,0.0458,97.019,4,0.157,80509,Australia,0JiVRyTJcJnmlwCZ854K4p
14,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,0.763,0.0,0.18,-4.068,0,0.0523,101.965,4,0.742,79125,Australia,5knuzwU65gJK7IF5yJsuaW
15,Weak,0.137,0.673,0.637,0.0,0.184,-4.518,1,0.0429,123.98,4,0.678,78782,Australia,3E2Zh20GDCR9B1EYjfXWyv
16,Issues,0.368,0.683,0.427,0.0,0.0604,-6.827,1,0.0777,113.634,4,0.426,72847,Australia,1sXUWdKx03aP9Gmzft58rt
17,Shed a Light,0.112,0.483,0.787,0.0,0.257,-5.244,1,0.102,122.058,4,0.58,72035,Australia,1cG0umU5TKStygKsPFZ9pY
18,Just Hold On,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,1,0.0824,114.991,4,0.374,67998,Australia,3EmmCZoqpWOTY1g2GBwJoR
19,Bad Ideas,0.0163,0.749,0.71,0.0237,0.0892,-6.63,1,0.0331,120.005,4,0.678,66644,Australia,76gwG061wqdatYhicO2hG4
20,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),0.105,0.803,0.743,2.12e-06,0.099,-3.602,0,0.0681,108.005,4,0.674,63452,Australia,0fg8CqpjdojMyXLNzM2PaJ
21,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,61972,Australia,4aWmUDTfIPGksMNLV2rQP2
22,Bungalow,0.0341,0.705,0.845,0.00351,0.134,-5.498,1,0.128,91.19,4,0.57,60829,Australia,0xCXcq4y44uHJtJ7zZDF3d
23,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),0.153,0.779,0.671,1.12e-05,0.115,-5.829,1,0.0814,104.953,4,0.718,59847,Australia,40UroIGvsMPLPBYwH8rMNA
24,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,58962,Australia,7BKLCZ1jbUBVqRi2FVlTVw
25,Stay (with Alessia Cara),0.232,0.679,0.634,0.0,0.115,-5.024,0,0.0654,102.013,4,0.498,58832,Australia,0dA2Mk56wEzDgegdC6R17g
26,All Night,0.00251,0.563,0.775,0.0,0.326,-6.433,1,0.0366,144.945,4,0.458,58171,Australia,1yNyoWWWikbLhwIGWjZuDW
