,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,length,country,music_id
0,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,166964,Australia,7qiZfU4dY1lWllzX7mPBI3
1,It Ain't Me (with Selena Gomez),0.119,0.64,0.533,0.0,0.0864,-6.596,1,0.0706,99.968,4,0.515,137275,Australia,3eR23VReFzcdmS7TYCrhCe
2,Something Just Like This,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0,0.0317,103.019,4,0.446,125707,Australia,6RUKPb4LETWmmr3iAEQktW
3,Galway Girl,0.0735,0.624,0.876,0.0,0.327,-3.374,1,0.1,99.943,4,0.781,106511,Australia,0afhq8XCExXpqazXczTSve
4,Stay (with Alessia Cara),0.232,0.679,0.634,0.0,0.115,-5.024,0,0.0654,102.013,4,0.498,104369,Australia,0dA2Mk56wEzDgegdC6R17g
5,Tuesday,0.0156,0.841,0.639,0.0654,0.0545,-6.052,0,0.0688,99.002,4,0.675,102638,Australia,7abpmGpF7PGep2rDU68GBR
6,Paris,0.0215,0.653,0.658,1.66e-06,0.0939,-6.428,1,0.0304,99.99,4,0.219,95025,Australia,72jbDTw1piOOj770jWNeaG
7,You Don't Know Me - Radio Edit,0.163,0.876,0.669,0.0,0.185,-6.054,0,0.138,124.007,4,0.682,94041,Australia,00lNx0OcTJrS3MKHcB80HY
8,Solo Dance,0.0435,0.744,0.836,0.0,0.194,-2.396,0,0.0507,114.965,4,0.36,93282,Australia,6HUnnBwYZqcED1eQztxMBN
9,Scared to Be Lonely,0.0895,0.584,0.54,0.0,0.261,-7.786,0,0.0576,137.972,4,0.195,85713,Australia,3ebXMykcMXOcLeJ9xZ17XH
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.735,0.451,1.3e-05,0.325,-8.374,1,0.0585,117.973,4,0.0862,83817,Australia,3NdDpSvN911VPGivFlV5d0
11,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.075,0.696,0.817,0.0,0.187,-3.862,1,0.109,98.064,4,0.782,83597,Australia,6kex4EBAj0WHXDKZMEJaaF
12,Believer,0.0524,0.779,0.787,0.0,0.14,-4.305,0,0.108,124.982,4,0.708,82647,Australia,0CcQNd8CINkwQfe1RDtGV6
13,Symphony (feat. Zara Larsson),0.259,0.707,0.629,1.6e-05,0.138,-4.581,0,0.0563,122.863,4,0.457,79155,Australia,1x5sYLZiu9r5E43kMlt9f8
14,Passionfruit,0.256,0.809,0.463,0.085,0.109,-11.377,1,0.0396,111.98,4,0.364,75848,Australia,7hDc8b7IXETo14hHIHdnhd
15,Castle on the Hill,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,1,0.0989,135.007,4,0.471,73128,Australia,6PCUP3dWmTjcTtXY02oFdT
16,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,1,0.431,150.062,4,0.281,70230,Australia,3rOSwuTsUlJp0Pu0MkN8r8
17,Green Light,0.0162,0.616,0.714,1.23e-05,0.0817,-7.792,1,0.0982,128.924,4,0.24,69406,Australia,0gbBzIqrECJOEPvQJIBFs5
18,Call On Me - Ryan Riback Extended Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,1,0.0362,104.998,4,0.717,68765,Australia,78rIJddV4X0HkNAInEcYde
19,Despacito (Featuring Daddy Yankee),0.209,0.66,0.786,0.0,0.112,-4.757,1,0.17,177.833,4,0.846,68091,Australia,4aWmUDTfIPGksMNLV2rQP2
20,Skin,0.265,0.564,0.745,0.0,0.147,-7.733,1,0.31,170.661,4,0.351,63010,Australia,6y2Kaz9QI01XBKJ8mTb7Pf
