,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",164708,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Wolves,"Selena Gomez",127963,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
3,打上花火,DAOKO,123818,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ
4,"What Lovers Do (feat. SZA)","Maroon 5",115637,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
5,"New Rules","Dua Lipa",103739,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
6,Havana,"Camila Cabello",101452,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
7,"My Boo","Shota Shimizu",98679,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
8,"How Long","Charlie Puth",97394,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
9,LIKEY,TWICE,97215,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI
10,恋音と雨空,AAA,93462,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
11,"Wherever you are","ONE OK ROCK",92228,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
12,Perfect,"Ed Sheeran",90649,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",89669,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
14,"Lonely Together (feat. Rita Ora)",Avicii,88178,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
15,"Friends (with BloodPop®)","Justin Bieber",84944,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
16,君が好き,"Shota Shimizu",83907,https://open.spotify.com/track/5Bg0HkfaRYRx8A7tMrjT9Z
17,DREAM,"Shota Shimizu",80272,https://open.spotify.com/track/6PO8T4qt3FHfauSs98zO9j
18,"One More Time",TWICE,79817,https://open.spotify.com/track/6q2cJXwzu89N8okT69L7KC
19,"Too Good At Goodbyes","Sam Smith",79796,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
20,愛をこめて花束を,Superfly,79654,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
21,さよならの前に,AAA,77506,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG
22,Attention,"Charlie Puth",76850,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
23,"Sorry Not Sorry","Demi Lovato",76106,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
